genre,abs_path,real_path,url
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1077.mp3,song\funk_1077.mp3,https://assets.mixkit.co/music/1077/1077.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1060.mp3,song\funk_1060.mp3,https://assets.mixkit.co/music/1060/1060.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_1081.mp3,song\classical_1081.mp3,https://assets.mixkit.co/music/1081/1081.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_595.mp3,song\classical_595.mp3,https://assets.mixkit.co/music/595/595.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_599.mp3,song\classical_599.mp3,https://assets.mixkit.co/music/599/599.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_672.mp3,song\classical_672.mp3,https://assets.mixkit.co/music/672/672.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_37.mp3,song\classical_37.mp3,https://assets.mixkit.co/music/37/37.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_712.mp3,song\classical_712.mp3,https://assets.mixkit.co/music/712/712.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_659.mp3,song\classical_659.mp3,https://assets.mixkit.co/music/659/659.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_713.mp3,song\classical_713.mp3,https://assets.mixkit.co/music/713/713.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_53.mp3,song\classical_53.mp3,https://assets.mixkit.co/music/53/53.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_690.mp3,song\classical_690.mp3,https://assets.mixkit.co/music/690/690.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_715.mp3,song\classical_715.mp3,https://assets.mixkit.co/music/715/715.mp3
