absolute_path,relative_path,filename,duration_seconds
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\478-preview.mp3,478-preview.mp3,478-preview.mp3,24
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\532-preview.mp3,532-preview.mp3,532-preview.mp3,23
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\1232-preview.mp3,1232-preview.mp3,1232-preview.mp3,14
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\2298-preview.mp3,2298-preview.mp3,2298-preview.mp3,16
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\632-preview.mp3,632-preview.mp3,632-preview.mp3,31
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\603-preview.mp3,603-preview.mp3,603-preview.mp3,27
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\2298-preview.mp3,2298-preview.mp3,2298-preview.mp3,16
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\945-preview.mp3,945-preview.mp3,945-preview.mp3,45
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\681-preview.mp3,681-preview.mp3,681-preview.mp3,213
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\667-preview.mp3,667-preview.mp3,667-preview.mp3,41
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\360-preview.mp3,360-preview.mp3,360-preview.mp3,36
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\603-preview.mp3,603-preview.mp3,603-preview.mp3,27
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\1554-preview.mp3,1554-preview.mp3,1554-preview.mp3,14
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\162-preview.mp3,162-preview.mp3,162-preview.mp3,36
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\120-preview.mp3,120-preview.mp3,120-preview.mp3,12
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\3081-preview.mp3,3081-preview.mp3,3081-preview.mp3,75
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\2229-preview.mp3,2229-preview.mp3,2229-preview.mp3,23
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\2531-preview.mp3,2531-preview.mp3,2531-preview.mp3,19
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\444-preview.mp3,444-preview.mp3,444-preview.mp3,120
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\2113-preview.mp3,2113-preview.mp3,2113-preview.mp3,23
C:\Users\irina\OneDrive\Desktop\application\labs\lab2\sounds\2484-preview.mp3,2484-preview.mp3,2484-preview.mp3,12
