absolute_path,relative_path,width
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000009.jpg,rabbit_images\range_1\000009.jpg,1200
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000006.jpg,rabbit_images\range_2\000006.jpg,1200
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_2\000021.jpg,rabbit_images\range_2\000021.jpg,1200
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000003.jpg,rabbit_images\range_1\000003.jpg,1217
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000012.jpg,rabbit_images\range_1\000012.jpg,1920
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000006.jpg,rabbit_images\range_1\000006.jpg,1920
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000004.jpg,rabbit_images\range_1\000004.jpg,1920
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000010.jpg,rabbit_images\range_1\000010.jpg,1920
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000011.jpg,rabbit_images\range_1\000011.jpg,2000
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000008.jpg,rabbit_images\range_1\000008.jpg,2048
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000007.jpg,rabbit_images\range_1\000007.jpg,2880
D:\Projects\Python\application-programming-labs-2025\lab4\rabbit_images\range_1\000005.jpg,rabbit_images\range_1\000005.jpg,5312
