Абсолютный путь,Относительный путь,aspect_ratio,range
C:\Users\User\Desktop\py\lab2\images\000001.jpg,images\000001.jpg,1.5,0.5-2.0
C:\Users\User\Desktop\py\lab2\images\000002.jpg,images\000002.jpg,1.45,0.5-2.0
C:\Users\User\Desktop\py\lab2\images\000003.jpg,images\000003.jpg,1.5,0.5-2.0
C:\Users\User\Desktop\py\lab2\images\000004.jpg,images\000004.jpg,0.67,0.5-2.0
C:\Users\User\Desktop\py\lab2\images\000005.jpg,images\000005.jpg,1.89,0.5-2.0
C:\Users\User\Desktop\py\lab2\images\000006.jpg,images\000006.jpg,1.9,0.5-2.0
C:\Users\User\Desktop\py\lab2\images\000007.jpg,images\000007.jpg,1.3,0.5-2.0
